date,deathIncrease,hospitalizedIncrease,positiveIncrease,,,,,,,,,,,,,,,,,,,,
20200815,1227,1891,56003,,,,,,,,,,,,,,,,,,,,
20200814,1226,2141,57144,,,,,,,,,,,,,,,,,,,,
20200813,1163,2675,51763,,,,,,,,,,,,,,,,,,,,
20200812,1517,2971,56186,,,,,,,,,,,,,,,,,,,,
20200811,1320,2624,54935,,,,,,,,,,,,,,,,,,,,
20200810,430,1554,41370,,,,,,,,,,,,,,,,,,,,
20200809,621,862,50766,,,,,,,,,,,,,,,,,,,,
20200808,1086,1493,53492,,,,,,,,,,,,,,,,,,,,
20200807,1322,7994,60837,,,,,,,,,,,,,,,,,,,,
20200806,1242,2616,54045,,,,,,,,,,,,,,,,,,,,
20200805,1354,2117,52691,,,,,,,,,,,,,,,,,,,,
20200804,1242,4423,51205,,,,,,,,,,,,,,,,,,,,
20200803,516,1558,42743,,,,,,,,,,,,,,,,,,,,
20200802,496,832,53322,,,,,,,,,,,,,,,,,,,,
20200801,1201,2385,60640,,,,,,,,,,,,,,,,,,,,
20200731,1324,2531,67835,,,,,,,,,,,,,,,,,,,,
20200730,1250,3293,68979,,,,,,,,,,,,,,,,,,,,
20200729,1505,2860,64156,,,,,,,,,,,,,,,,,,,,
20200728,1111,4067,58452,,,,,,,,,,,,,,,,,,,,
20200727,1066,1632,54484,,,,,,,,,,,,,,,,,,,,
20200726,561,1380,60768,,,,,,,,,,,,,,,,,,,,
20200725,1012,1816,64788,,,,,,,,,,,,,,,,,,,,
20200724,1174,3066,75095,,,,,,,,,,,,,,,,,,,,
20200723,1071,2371,71426,,,,,,,,,,,,,,,,,,,,
20200722,1149,2237,69442,,,,,,,,,,,,,,,,,,,,
20200721,1043,2555,62887,,,,,,,,,,,,,,,,,,,,
20200720,376,1563,56709,,,,,,,,,,,,,,,,,,,,
20200719,526,886,64207,,,,,,,,,,,,,,,,,,,,
20200718,877,1994,64773,,,,,,,,,,,,,,,,,,,,
20200717,938,2485,76498,,,,,,,,,,,,,,,,,,,,
20200716,940,2207,70493,,,,,,,,,,,,,,,,,,,,
20200715,864,2315,69372,,,,,,,,,,,,,,,,,,,,
20200714,742,2322,58618,,,,,,,,,,,,,,,,,,,,
20200713,329,1120,57144,,,,,,,,,,,,,,,,,,,,
20200712,471,890,61602,,,,,,,,,,,,,,,,,,,,
20200711,753,5088,62584,,,,,,,,,,,,,,,,,,,,
20200710,841,2197,67108,,,,,,,,,,,,,,,,,,,,
20200709,862,1663,59063,,,,,,,,,,,,,,,,,,,,
20200708,819,1888,62815,,,,,,,,,,,,,,,,,,,,
20200707,906,1975,50991,,,,,,,,,,,,,,,,,,,,
20200706,233,765,40902,,,,,,,,,,,,,,,,,,,,
